M1_TOA_us, M1_STE     , M1_ZCR, M1_PEAK, M2_TOA_us, M2_STE    , M2_ZCR, M2_PEAK, Lokasi
677067696, 2400.63    , 0.09  , 140    , 677062952, 3116.43   , 0.0   , 99     , Dekat Mic2
677560661, 7344.66    , 0.04  , 207    , 677560063, 2860.49   , 0.01  , 85     , Dekat Mic2
678058876, 700.74     , 0.19  , 67     , 678066681, 2152.62   , 0.06  , 96     , Dekat Mic1
678558592, 247930.86  , 0.01  , 1002   , 678566694, 1916.66   , 0.04  , 88     , Dekat Mic1
679061699, 6880.74    , 0.05  , 160    , 679066959, 1061.0    , 0.09  , 88     , Dekat Mic1
679557294, 93206.02   , 0.01  , 523    , 679566336, 1904.25   , 0.04  , 96     , Dekat Mic1
680060968, 6751.05    , 0.07  , 186    , 680065916, 3396.15   , 0.02  , 107    , Dekat Mic1
680560035, 79499.2    , 0.02  , 592    , 680564512, 1925.21   , 0.06  , 105    , Dekat Mic1
681059853, 1376.21    , 0.11  , 100    , 681065107, 2839.38   , 0.05  , 95     , Dekat Mic1
681567600, 421829.78  , 0.02  , 1441   , 681560350, 27586.64  , 0.03  , 375    , Dekat Mic2
682058992, 5181.43    , 0.05  , 143    , 682060725, 3482.71   , 0.02  , 108    , Dekat Mic1
682567727, 805266.19  , 0.0   , 2299   , 682561645, 53138.08  , 0.01  , 478    , Dekat Mic2
683064385, 3477.61    , 0.1   , 132    , 683061919, 4139.61   , 0.0   , 108    , Dekat Mic2
683561487, 1229.49    , 0.08  , 96     , 683559422, 3335.68   , 0.0   , 98     , Dekat Mic2
684060901, 4716.17    , 0.09  , 185    , 684061178, 1651.14   , 0.0   , 72     , Dekat Mic1
684559171, 4491.5     , 0.08  , 141    , 684559849, 1686.09   , 0.05  , 84     , Dekat Mic1
685058815, 11462269.0 , 0.0   , 6855   , 685065583, 776985.81 , 0.01  , 1840   , Dekat Mic1
685563685, 1569.71    , 0.14  , 104    , 685559868, 3060.15   , 0.0   , 89     , Dekat Mic2
686064303, 4309.02    , 0.06  , 151    , 686064363, 1744.06   , 0.0   , 72     , Dekat Mic1
686567268, 5198947.0  , 0.01  , 4660   , 686558062, 91943.59  , 0.04  , 732    , Dekat Mic2
687067409, 1350.21    , 0.14  , 88     , 687060884, 4878.87   , 0.0   , 125    , Dekat Mic2
687565389, 2596.19    , 0.11  , 120    , 687556341, 1264.42   , 0.02  , 75     , Dekat Mic2
688056854, 3974.55    , 0.06  , 154    , 688065522, 2039.8    , 0.07  , 102    , Dekat Mic1
688566206, 11973.97   , 0.03  , 242    , 688561112, 1157.87   , 0.05  , 78     , Dekat Mic2
689063501, 1233560.0  , 0.05  , 4347   , 689066499, 403557.94 , 0.08  , 2082   , Dekat Mic1
689567154, 16535.62   , 0.02  , 246    , 689558107, 3141.85   , 0.0   , 99     , Dekat Mic2
690059263, 5291.16    , 0.03  , 153    , 690065726, 2323.23   , 0.04  , 80     , Dekat Mic1
690567478, 104242.92  , 0.01  , 779    , 690559070, 1114.06   , 0.09  , 88     , Dekat Mic2
691057550, 5004.88    , 0.05  , 141    , 691061406, 3203.19   , 0.0   , 101    , Dekat Mic1
691561554, 8186.36    , 0.03  , 190    , 691563233, 1222.93   , 0.05  , 68     , Dekat Mic1
692067312, 9878.59    , 0.05  , 237    , 692066325, 1281.6    , 0.0   , 66     , Dekat Mic2
692558890, 5362.19    , 0.07  , 144    , 692566584, 2607.87   , 0.0   , 89     , Dekat Mic1
693057523, 12389622.0 , 0.0   , 5592   , 693061660, 170132.94 , 0.0   , 803    , Dekat Mic1
693566310, 4592.62    , 0.04  , 123    , 693566999, 1637.86   , 0.08  , 102    , Dekat Mic1
694057942, 7234.67    , 0.1   , 230    , 694057488, 2892.44   , 0.08  , 109    , Dekat Mic2
694566635, 365977.12  , 0.0   , 1499   , 694566425, 170722.0  , 0.04  , 1126   , Dekat Mic2
695065581, 7603.17    , 0.04  , 191    , 695057483, 2916.82   , 0.0   , 93     , Dekat Mic2
695567733, 52405.21   , 0.02  , 377    , 695557483, 1552.48   , 0.04  , 75     , Dekat Mic2
696057261, 1418008.38 , 0.01  , 2296   , 696061341, 13640.5   , 0.03  , 262    , Dekat Mic1
696557215, 6345.49    , 0.05  , 150    , 696567007, 554.65    , 0.1   , 69     , Dekat Mic1
697063563, 4982.19    , 0.09  , 146    , 697057673, 2751.1    , 0.01  , 109    , Dekat Mic2
697557467, 43761.76   , 0.03  , 414    , 697564525, 2602.42   , 0.0   , 95     , Dekat Mic1
698059229, 1471.62    , 0.18  , 93     , 698064834, 1341.41   , 0.01  , 77     , Dekat Mic1
698563842, 7185.34    , 0.03  , 180    , 698558257, 2326.39   , 0.0   , 83     , Dekat Mic2
699057686, 509062.12  , 0.01  , 1805   , 699056842, 18010.04  , 0.02  , 240    , Dekat Mic2
699560025, 799.19     , 0.15  , 69     , 699557865, 2382.68   , 0.0   , 84     , Dekat Mic2
700059478, 1804.2     , 0.2   , 114    , 700064172, 2323.57   , 0.04  , 81     , Dekat Mic1
700557289, 5510.16    , 0.03  , 154    , 700560408, 3865.31   , 0.0   , 104    , Dekat Mic1
701057625, 779.19     , 0.29  , 110    , 701064611, 2310.27   , 0.0   , 85     , Dekat Mic1
